Mes,Córdobas por USD
31-Diciembre-2021,35.5210
01-Mayo-2022,35.7549
02-Mayo-2022,35.7568
03-Mayo-2022,35.7588
04-Mayo-2022,35.7607
05-Mayo-2022,35.7627
06-Mayo-2022,35.7646
07-Mayo-2022,35.7665
08-Mayo-2022,35.7685
01-Septiembre-2022,35.9943
02-Septiembre-2022,35.9963
03-Septiembre-2022,35.9982
04-Septiembre-2022,36.0002
05-Septiembre-2022,36.0021
06-Septiembre-2022,36.0041
07-Septiembre-2022,36.0060
08-Septiembre-2022,36.0080
09-Septiembre-2022,36.0099
10-Septiembre-2022,36.0119
11-Septiembre-2022,36.0138
12-Septiembre-2022,36.0158
13-Septiembre-2022,36.0177
14-Septiembre-2022,36.0197
15-Septiembre-2022,36.0217
16-Septiembre-2022,36.0236
17-Septiembre-2022,36.0256
18-Septiembre-2022,36.0275
19-Septiembre-2022,36.0295
20-Septiembre-2022,36.0314
21-Septiembre-2022,36.0334
22-Septiembre-2022,36.0353
23-Septiembre-2022,36.0373
24-Septiembre-2022,36.0392
25-Septiembre-2022,36.0412
26-Septiembre-2022,36.0432
27-Septiembre-2022,36.0451
28-Septiembre-2022,36.0471
29-Septiembre-2022,36.0490
30-Septiembre-2022,36.0510
01-Noviembre-2022,36.1136
02-Noviembre-2022,36.1156
03-Noviembre-2022,36.1175
04-Noviembre-2022,36.1195
05-Noviembre-2022,36.1215
06-Noviembre-2022,36.1234
07-Noviembre-2022,36.1254
08-Noviembre-2022,36.1273
09-Noviembre-2022,36.1293
10-Noviembre-2022,36.1313
11-Noviembre-2022,36.1332
12-Noviembre-2022,36.1352
13-Noviembre-2022,36.1371
14-Noviembre-2022,36.1391
15-Noviembre-2022,36.1411
16-Noviembre-2022,36.1430
17-Noviembre-2022,36.1450
18-Noviembre-2022,36.1469
19-Noviembre-2022,36.1489
20-Noviembre-2022,36.1509
21-Noviembre-2022,36.1528
22-Noviembre-2022,36.1548
23-Noviembre-2022,36.1568
24-Noviembre-2022,36.1587
25-Noviembre-2022,36.1607
26-Noviembre-2022,36.1626
27-Noviembre-2022,36.1646
28-Noviembre-2022,36.1666
29-Noviembre-2022,36.1685
30-Noviembre-2022,36.1705
09-Mayo-2022,35.7704
01-Enero-2022,35.5229
02-Enero-2022,35.5248
03-Enero-2022,35.5267
04-Enero-2022,35.5287
05-Enero-2022,35.5306
06-Enero-2022,35.5325
07-Enero-2022,35.5344
08-Enero-2022,35.5364
09-Enero-2022,35.5383
10-Enero-2022,35.5402
11-Enero-2022,35.5422
12-Enero-2022,35.5441
13-Enero-2022,35.5460
14-Enero-2022,35.5479
15-Enero-2022,35.5499
16-Enero-2022,35.5518
17-Enero-2022,35.5537
18-Enero-2022,35.5557
19-Enero-2022,35.5576
20-Enero-2022,35.5595
21-Enero-2022,35.5614
22-Enero-2022,35.5634
23-Enero-2022,35.5653
24-Enero-2022,35.5672
25-Enero-2022,35.5692
26-Enero-2022,35.5711
27-Enero-2022,35.5730
28-Enero-2022,35.5750
29-Enero-2022,35.5769
30-Enero-2022,35.5788
31-Enero-2022,35.5807
10-Mayo-2022,35.7724
11-Mayo-2022,35.7743
12-Mayo-2022,35.7762
13-Mayo-2022,35.7782
14-Mayo-2022,35.7801
15-Mayo-2022,35.7821
16-Mayo-2022,35.7840
17-Mayo-2022,35.7860
18-Mayo-2022,35.7879
19-Mayo-2022,35.7898
20-Mayo-2022,35.7918
21-Mayo-2022,35.7937
22-Mayo-2022,35.7957
23-Mayo-2022,35.7976
24-Mayo-2022,35.7995
25-Mayo-2022,35.8015
26-Mayo-2022,35.8034
27-Mayo-2022,35.8054
28-Mayo-2022,35.8073
29-Mayo-2022,35.8093
30-Mayo-2022,35.8112
31-Mayo-2022,35.8131
01-Agosto-2022,35.9338
02-Agosto-2022,35.9358
03-Agosto-2022,35.9377
04-Agosto-2022,35.9397
05-Agosto-2022,35.9416
06-Agosto-2022,35.9436
07-Agosto-2022,35.9455
08-Agosto-2022,35.9475
09-Agosto-2022,35.9494
10-Agosto-2022,35.9514
11-Agosto-2022,35.9533
12-Agosto-2022,35.9553
13-Agosto-2022,35.9572
14-Agosto-2022,35.9592
15-Agosto-2022,35.9611
16-Agosto-2022,35.9631
17-Agosto-2022,35.9650
18-Agosto-2022,35.9670
19-Agosto-2022,35.9689
20-Agosto-2022,35.9709
21-Agosto-2022,35.9728
22-Agosto-2022,35.9748
23-Agosto-2022,35.9767
24-Agosto-2022,35.9787
25-Agosto-2022,35.9806
26-Agosto-2022,35.9826
27-Agosto-2022,35.9845
28-Agosto-2022,35.9865
29-Agosto-2022,35.9884
30-Agosto-2022,35.9904
31-Agosto-2022,35.9923
01-Marzo-2022,35.6368
02-Marzo-2022,35.6387
03-Marzo-2022,35.6406
04-Marzo-2022,35.6426
05-Marzo-2022,35.6445
06-Marzo-2022,35.6464
07-Marzo-2022,35.6484
08-Marzo-2022,35.6503
09-Marzo-2022,35.6522
10-Marzo-2022,35.6542
11-Marzo-2022,35.6561
12-Marzo-2022,35.6580
13-Marzo-2022,35.6600
14-Marzo-2022,35.6619
15-Marzo-2022,35.6638
16-Marzo-2022,35.6658
17-Marzo-2022,35.6677
18-Marzo-2022,35.6697
19-Marzo-2022,35.6716
20-Marzo-2022,35.6735
21-Marzo-2022,35.6755
22-Marzo-2022,35.6774
23-Marzo-2022,35.6793
24-Marzo-2022,35.6813
25-Marzo-2022,35.6832
26-Marzo-2022,35.6851
27-Marzo-2022,35.6871
28-Marzo-2022,35.6890
29-Marzo-2022,35.6909
30-Marzo-2022,35.6929
31-Marzo-2022,35.6948
01-Abril-2022,35.6968
02-Abril-2022,35.6987
03-Abril-2022,35.7006
04-Abril-2022,35.7026
05-Abril-2022,35.7045
06-Abril-2022,35.7064
07-Abril-2022,35.7084
08-Abril-2022,35.7103
09-Abril-2022,35.7123
10-Abril-2022,35.7142
11-Abril-2022,35.7161
12-Abril-2022,35.7181
13-Abril-2022,35.7200
14-Abril-2022,35.7219
15-Abril-2022,35.7239
16-Abril-2022,35.7258
17-Abril-2022,35.7278
18-Abril-2022,35.7297
19-Abril-2022,35.7316
20-Abril-2022,35.7336
21-Abril-2022,35.7355
22-Abril-2022,35.7374
23-Abril-2022,35.7394
24-Abril-2022,35.7413
25-Abril-2022,35.7433
26-Abril-2022,35.7452
27-Abril-2022,35.7471
28-Abril-2022,35.7491
29-Abril-2022,35.7510
30-Abril-2022,35.7530
01-Junio-2022,35.8151
02-Junio-2022,35.8170
03-Junio-2022,35.8190
04-Junio-2022,35.8209
05-Junio-2022,35.8229
06-Junio-2022,35.8248
